,2023-10-05 02:49:37,Day1,Day3,Day5,Day7,Day10,Day14,Day21,Day28
0,BTC/USDT:USDT,-0.6462422567722181,0.16987770893555657,-0.07093343481021823,-0.5614214270891551,0.23102576029827118,-0.19626809528507033,0.015862195651798097,-0.1676478509087252
1,ETH/USDT:USDT,0.8841810308598806,0.3277611815229015,-0.5551999250585464,-0.11530528191903107,0.0020657524559494324,0.08315146809179876,0.054837502439511146,-0.06514277148919409
2,BCH/USDT:USDT,0.9904607493623485,0.016811694441207732,0.20402697289702543,0.35649494601257886,-0.5167961526860593,0.32192366250881116,-0.2560464999012949,0.1336444982281563
3,XRP/USDT:USDT,0.5235410042441303,0.4835112160327893,-0.4187148440688991,0.01732730317851516,-0.02110740335793173,0.2870996303319084,-0.13556666206865667,-0.007987203580078853
4,EOS/USDT:USDT,0.7460924756507145,0.25418301550280703,-0.35337492580418767,-0.11505077512866745,0.08813536631362937,0.17299679220909275,-0.07626514222023485,-0.02785583691219096
5,LTC/USDT:USDT,0.9917616739155236,0.8707021101314144,-0.26689072262580854,-0.010802011415794115,-0.2658234252047033,-0.1331976954930811,0.2357099412130673,0.27807802603598736
6,TRX/USDT:USDT,0.9101473423077664,0.6115411720606005,-0.38943822624903707,0.04558144949656767,-0.2067287905267073,0.0627288220004027,0.19003632014568717,0.09038060825829816
7,ETC/USDT:USDT,0.75002090642257,0.5262570699479066,0.3930672367269717,0.03727054615928025,-0.22896847039095436,0.2180383960493792,0.021470824592335545,0.1574814850749125
8,LINK/USDT:USDT,0.25177417872994234,0.7461680441662593,0.2760818382974374,-0.19636263332165693,-0.08832937024291719,0.10959101091842297,0.18753763098529114,-0.2149769432144202
9,XLM/USDT:USDT,-0.6799199592024827,0.5978313395029201,0.025460566863023545,-0.01088518742787226,-0.3374616593087178,-0.10121530341276103,0.32208362085977116,-0.35264177343165193
10,ADA/USDT:USDT,0.9588597159846811,0.31056286649601844,0.0744502060020927,0.32083380865557104,-0.04123814359139044,0.19270158641351268,0.3245293025428879,-0.27735333149736674
11,XMR/USDT:USDT,-0.8573151532396068,0.2648424690257543,-0.0822525792940424,0.1552969904849109,0.3545771260192922,0.04465833510384267,0.13215012868670978,0.09371257373855395
12,DASH/USDT:USDT,-0.8733564324433182,0.378085592017488,-0.013859622712631636,-0.14068740733767363,-0.31179963897632523,0.003888275436382333,0.37777046433876443,0.3531581305647589
13,ZEC/USDT:USDT,,,-0.09702073125465964,0.0387738646250946,0.1215815870168421,-0.11320830734104102,-0.0015258747678240682,0.09497823929335018
14,XTZ/USDT:USDT,,0.1802950032534107,-0.22780632438612794,-0.014415475260319239,-0.13276072629334995,-0.047171604995590206,0.21842428131448016,0.13080566333310842
15,BNB/USDT:USDT,0.31321386897248593,0.4767701933106424,0.3839576921373086,0.7432905281372042,0.36686523197269594,0.4117631313280152,0.22058707505670988,0.4106487388141528
16,ATOM/USDT:USDT,-0.7779863141922145,-0.23575185268923454,0.5228387148984105,0.6647707520611037,-0.45094342150563377,0.06481059698135627,0.15750633633082356,0.3218327430448481
17,ONT/USDT:USDT,,,,1.4760089588412616e-15,1.1357827463163128e-15,-0.2795179862645793,0.10342134551652783,-0.13761719871401315
18,IOTA/USDT:USDT,,,0.0,0.1457514146088722,-0.01473527082514785,-0.08702165020391163,0.29878924488613323,0.2007653738629991
19,BAT/USDT:USDT,,,,-2.1338872376390796e-13,-8.458539184843134e-14,,-0.11576567236152907,0.01732319147203326
20,VET/USDT:USDT,,,,6.21233345523395e-15,-6.8685882102486e-15,,0.11188244325393021,-0.18516020743246983
21,NEO/USDT:USDT,,,,2.62739210367291e-14,0.4083408840197556,0.40952058416465703,0.1156957859323918,0.09212576409791871
22,QTUM/USDT:USDT,,,,0.2214547478538219,-0.018620040003336977,-0.07041345498397183,0.04889468977597102,0.08595976718470281
23,IOST/USDT:USDT,,,-0.3175623277796123,-0.0708038404095791,-0.05729008359641922,-0.1118028619413349,0.08269569801457334,0.07642372715830914
24,THETA/USDT:USDT,,,,-0.22145474785385738,-0.028248657698493048,-0.061990548791825514,0.08542871761099753,0.07030687030887926
25,ALGO/USDT:USDT,,,,2.9224977385058146e-13,7.394959118107944e-14,,0.20664875384127326,0.19586437470878978
26,ZIL/USDT:USDT,,,-0.496470865853533,0.5016919171066168,0.6916232579505078,0.5661057726977203,0.05678064692050069,0.21966786337827607
27,KNC/USDT:USDT,,,,-5.98019999872165e-14,-6.58748940449109e-14,,-0.20160694508017696,0.03265465700924456
28,ZRX/USDT:USDT,,,,-8.476349052412644e-15,-0.24975802271600786,-0.40663808972616994,-0.30786041922677376,-0.294232614239812
29,COMP/USDT:USDT,0.8765585738296522,0.5612532038240268,0.27373347586946,-0.05828812293204364,0.025344869575786962,-0.17006298316250737,-0.02873585801259219,1.9487861660323328e-16
30,OMG/USDT:USDT,,,,-6.676345648155691e-16,-3.8245547988879926e-13,-0.5739732553853283,-0.32864992746120525,-0.4164915368094009
31,DOGE/USDT:USDT,0.6547255546978205,0.6147031315711592,0.4021953219066161,0.4034783555647012,-0.3557734257757275,-0.09192265217810516,0.23845312738705446,-0.31895987943228293
32,SXP/USDT:USDT,0.7712711656948966,-0.423880090036318,0.5601554940487052,0.42388818561044567,0.36345838653438556,-0.3858814489016512,0.08007796506281076,0.16700742802924343
33,KAVA/USDT:USDT,0.9496826166058251,-0.34080406504825733,0.07332237776980302,0.20175386133825512,-0.3055988058583544,0.012145285313529168,0.2752577974076401,0.3130564820717014
34,BAND/USDT:USDT,,,-0.09028144970849099,-0.14652839900075906,-0.05101252965427022,0.1886769741126677,0.31290059833589884,-0.04456882193455368
35,RLC/USDT:USDT,-0.9986618948455276,0.5050873308217649,-0.4686356997794441,-0.3748410209029633,-0.08355199747994833,-0.25934381640242254,0.3294540142088683,0.32710242037151543
36,WAVES/USDT:USDT,,,-0.4964708658535315,-0.1457514146089093,0.07658726985684416,-0.065465403715172,0.22759476168644036,-0.11752016827557092
37,MKR/USDT:USDT,,,,1.9228871936188548e-13,-7.011683797962121e-14,,0.3028905222548691,0.13128019369979776
38,SNX/USDT:USDT,,,,2.800726999401348e-12,2.905143049651976e-15,0.20263154681433887,0.31167388963512527,0.18179641381228942
39,DOT/USDT:USDT,0.24682625340191996,-0.1716108683995614,0.17327912062567669,-0.20006639494563108,0.019175583154140443,0.2079639972777046,0.03875696576790895,-0.25112928090399256
