,2023-10-05 02:49:37,Day1,Day3,Day5,Day7,Day10,Day14,Day21,Day28
0,BTC/USDT:USDT,-1.2256309345225254,0.6252231963352533,-0.36281831146243226,-201.84017439972274,48.63072545958894,-10.787122686262723,0.4532968313599314,-2.1429763454563093
1,ETH/USDT:USDT,9.01255756078112,1.6570597720113205,-19.42487816127635,-16.079044200023077,0.1580939501800842,2.855752165975476,0.6009606975785455,-1.1412447043640637
2,BCH/USDT:USDT,13.623692091064298,0.17340322299351005,0.7639635625081628,6.517485468831049,-31.025115844623066,3.756774836984958,-2.8202124649376685,1.5405839545804831
3,XRP/USDT:USDT,30.94696380661699,38.729219003733235,-2.0443855585659896,0.5900849274307058,-0.6843838626620238,7.258162528799846,-3.2287740509245073,-0.3835043669294083
4,EOS/USDT:USDT,103.61685479127566,4.150655093889375,-3.7879038656204975,-13.126835448635996,6.130230324808713,4.346323081237209,-2.997244631420474,-0.9465457741367603
5,LTC/USDT:USDT,1.6309616485516643,4.449369157178487,-45.80346316805467,-0.8917112005111336,-12.479435013019504,-2.156385157430294,4.917500021476378,24.64856847935622
6,TRX/USDT:USDT,12.219340144683821,3.9365958867660633,-6.751354487006578,3.52161352406119,-3.068616601456128,1.6826621688963797,3.059830228260179,4.421842668358663
7,ETC/USDT:USDT,16.71466250292193,7.719546551783628,5.271276844095287,1.5498761950531532,-5.804839951370838,5.235693395234151,2.845804255294948,40.48308141782028
8,LINK/USDT:USDT,2.3955707379271645,4.565468010230207,13.723995944653206,-16.448762436774143,-1.8769562856441528,2.0455590049259986,5.607451779626419,-3.3517496556869544
9,XLM/USDT:USDT,-14.17708387989235,4.577248637080254,1.1649421671265003,-0.9108774781387873,-17.26171090146715,-4.737806454113393,7.536297389165939,-4.170142686671254
10,ADA/USDT:USDT,11.989169974160719,1.888073875700237,0.7417183082680093,114.94589494209478,-5.155945243234761,283.950376697048,8.216032917640808,-55.59246857107416
11,XMR/USDT:USDT,-4.033726066150573,6.110327547862986,-3.510115636081449,7.3768370066745454,52.028750711891796,1.2658475267931808,2.4664888790715325,2.1307676349332083
12,DASH/USDT:USDT,-6.421309476268072,8.057378080307075,-0.4035683529433873,-154.19166797206518,-417.73740385887425,11666467606139.875,72.16658544092287,10.191966903675763
13,ZEC/USDT:USDT,0.0,0.0,-1.531451037342296,4.475650387926868,20.450655364468286,-0.9785758062714844,-0.05883725340956828,3.7555700855922174
14,XTZ/USDT:USDT,0.0,1.5546938221953928,-4.027845441015074,-6.317123065473965,-5.7916952992915105,-0.759520601833362,11.639318326081467,5.211046251275198
15,BNB/USDT:USDT,0.19447522293785297,0.3548758299851579,3.203633987498071,2347.5085146867277,10.252737424792173,16.60156707489092,6.490626943828285,8.039828453088852
16,ATOM/USDT:USDT,-64.79717479182858,-9.983416931853627,4.661446882972216,44.10828104997824,-6.049630973309482,2.151744323098014,6.288190064709975,5.624559596082979
17,ONT/USDT:USDT,0.0,0.0,0.0,4.5750651378172973e-29,4.837509175611847e-30,-0.13438775568246453,0.5471964112956241,-90.37224608746111
18,IOTA/USDT:USDT,0.0,0.0,0.0,28.247815877101555,-0.9913691954347635,-5.906861121198334,6.515765818708939,168.12517122195092
19,BAT/USDT:USDT,0.0,0.0,0.0,-3.984290400089074e-26,-1.1296876601293699e-26,0.0,-0.5105257361259972,0.9527843118625945
20,VET/USDT:USDT,,0.0,0.0,2.7015160871313294e-28,-1.5725834667322024e-28,0.0,1.24732310529179,-22.374261009717138
21,NEO/USDT:USDT,,0.0,0.0,1.2080581216274829e-27,2.703446810216405,4.320868128627322,1.594652546085956,3.9678627746714086
22,QTUM/USDT:USDT,0.0,0.0,0.0,2.882651470027518,-36213560080599.8,-7.293766449595594,1.102021627803551,0.9546647673296967
23,IOST/USDT:USDT,0.0,0.0,-0.1706183652866228,-0.31185856803504014,-0.1686779086163159,-0.05774638021134484,0.49466191905780005,3.7263492912107554
24,THETA/USDT:USDT,0.0,0.0,0.0,-9.044682958357766,-2.869430187432657,-0.22790854030499383,41.171056464910365,16.424167709059464
25,ALGO/USDT:USDT,,0.0,0.0,7.47336890262515e-26,4.001372221352769e-27,0.0,1.7278572829167291,7.186944490777781
26,ZIL/USDT:USDT,0.0,0.0,-0.09003301334749957,39.139082835377785,4.209564882662084,84.43312087223856,1.5279706307532286,53.04885334861027
27,KNC/USDT:USDT,,0.0,0.0,-5.006790883459461e-27,-3.945001514025672e-27,0.0,-10.937227232281787,0.21017616680353518
28,ZRX/USDT:USDT,0.0,0.0,0.0,-1.886022948031339e-28,-1.1627924530279254,-9.93300424491537,-0.6844228989350813,-1.449337219162658
29,COMP/USDT:USDT,64.68414859424453,17.56811686605751,2.5095307111592726,-3.535561611198953,93268393513707.97,-2084866387497381.0,-85949778834429.62,0.5595238095238095
30,OMG/USDT:USDT,0.0,0.0,0.0,-3.1201513849553206e-30,-8.776331645818301e-25,-20.553230372117557,-1.900198774068917,-2.6870152211347875
31,DOGE/USDT:USDT,3.7433572338296015,32.443431451713415,7.447977587605281,48.08436906782159,-15.769201108897454,-1.3307728586686463,4.544694744811991,-7.481584380993069
32,SXP/USDT:USDT,0.7706965791078622,-2.747305062649484,12.394232805460616,115.51824496249557,17.57334302993551,-6.172310696504404,0.42779037559574545,0.7795034347219905
33,KAVA/USDT:USDT,15.680413178391689,-3.9888666063962073,2.0638110708738426,29.36666876853421,-7.687942983098893,0.9336123766451521,3.968047268130273,3.348466982387477
